,Unnamed: 0,Ежемесячный Фин. Отчет Университета,Unnamed: 2,Unnamed: 3,Unnamed: 4,"2024
Остаток","2025
Январ","2025
Февраль","2025
Март","2025
Апрель","2025
Май","2025
Июнь","2025
Июль","2025
Август","2025
Сентябрь","2025
Октябрь","2025
Ноябрь","2025
Декабрь","Grand Total
2024-2025"
0,,,,,,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS
62,4.1.1.2),Чет давлатларга чиқиш билан боғлиқ,,12.0,0.0,,,,,,,,,,,,,,0
63,4.1.2),Коммунал хизматлари ,42.0,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,4.1.2.1),Электроэнергия,,21.0,0.0,,,,,,,,,,,,,,0
65,4.1.2.2),Табиий газ,,22.0,0.0,,,,,,,,,,,,,,0
66,4.1.2.3),Иссиқ сув ва иссиқлик энергияси,,23.0,0.0,,,,,,,,,,,,,,0
67,4.1.2.4),Совуқ сув ва оқова,,24.0,0.0,,,,,,,,,,,,,,0
68,4.1.2.5),"Чиқиндиларни тозалаш, олиб чиқиб кетиш билан боғлиқ хизматлар ҳамда энергетик ва бошқа ресурслар (бензин ва бошқа ЁММлардан ташқари)ни сотиб олиш",,25.0,0.0,,,,,,,,,,,,,,0
69,4.1.3),Сақлаб туриш ва жорий таъмирлаш,42.0,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4.1.3.1),Ер,,31.0,0.0,,,,,,,,,,,,,,0
71,4.1.3.2),Бино ,,32.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,4.1.3.2.1),Тураржой бинолари,,32.0,100.0,,,,,,,,,,,,,,0
73,4.1.3.2.2),Нотурар жой бинолари,,32.0,200.0,,,,,,,,,,,,,,0
74,4.1.3.3),Иншоотлар,,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4.1.3.3.1),Бошқа иншоатлар,,33.0,900.0,,,,,,,,,,,,,,0
76,4.1.3.4),"Машиналар, жиҳозлар ва техника",,34.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,4.1.3.4.1),Транспорт воситалари,,34.0,100.0,,,,,,,,,,,,,,0
78,4.1.3.4.2),"Бошқа машиналар, жиҳозлар, техника ва ўтказгич қурилмалар",,34.0,900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4.1.3.4.2.1),Мебель ва офис жиҳозлари,,34.0,910.0,,,,,,,,,,,,,,0
80,4.1.3.4.2.2),"Компьютер жиҳозлари, ҳисоблаш ва аудио-видео техника",,34.0,920.0,,,,,,,,,,,,,,0
81,4.1.3.4.2.3),Электр энергия ва бошқа коммунал хизматларни ҳисобга олиш асбоблари,,34.0,930.0,,,,,,,,,,,,,,0
82,4.1.3.4.2.4),"Бошқа машиналар, жиҳозлар ва техника",,34.0,990.0,,,,,,,,,,,,,,0
83,4.1.3.5),Сақлаб туриш ва жорий таъмирлаш бўйича бошқа турдаги харажатлар,,39.0,0.0,,,,,,,,,,,,,,0
84,4.1.4),Ижара бўйича харажатлар,42.0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4.1.4.1),Ер,,41.0,0.0,,,,,,,,,,,,,,0
86,4.1.4.2),Бино ,,42.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,4.1.4.2.1),Тураржой бинолари,,42.0,100.0,,,,,,,,,,,,,,0
88,4.1.4.2.2),Нотурар жой бинолари,,42.0,200.0,,,,,,,,,,,,,,0
89,4.1.4.3),Иншоот,,43.0,0.0,,,,,,,,,,,,,,0
90,4.1.4.4),"Машиналар, жиҳозлар ва техника",,44.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4.1.4.4.1),Транспорт воситалари,,44.0,100.0,,,,,,,,,,,,,,0
92,4.1.4.4.2),"Бошқа машиналар, жиҳозлар ва техника",,44.0,900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,4.1.4.4.2.1),Мебель ва офис жиҳозлари,,44.0,910.0,,,,,,,,,,,,,,0
94,4.1.4.4.2.2),"Компьютер жиҳозлари, ҳисоблаш ва аудио-видео техника ",,44.0,920.0,,,,,,,,,,,,,,0
95,4.1.4.4.2.3),"Бошқа машиналар, жиҳозлар ва техника",,44.0,990.0,,,,,,,,,,,,,,0
96,4.1.4.9),Ижара бўйича бошқа харажатлар ,,49.0,0.0,,,,,,,,,,,,,,0
97,4.1.5),Моддий айланма воситалар захираларига харажатлар,42.0,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,4.1.5.1),Бошқа моддий айланма  воситалар,,52.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4.1.5.1.1),Товар-моддий захиралар,,52.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4.1.5.1.1.1),Товар-моддий захиралар (қоғоздан ташқари),,52.0,110.0,,,,,,,,,,,,,,0
101,4.1.5.1.1.2),Қоғоз ҳарид қилиш учун харажатлар,,52.0,120.0,,,,,,,,,,,,,,0
102,4.1.5.1.2),"Кийим-кечак, пойабзал ва чойшаб-ғилофлар",,52.0,200.0,,,,,,,,,,,,,,0
103,4.1.5.1.3),Озиқ-овқат маҳсулотлари,,52.0,300.0,,,,,,,,,,,,,,0
104,4.1.5.1.4),"Дори-дармонлар, тиббиётда фойдаланиладиган воситалар, вакциналар ва бактериологик препаратлар",,52.0,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,4.1.5.1.4.1),Дори-дармонлар ва тиббиётда фойдаланиладиган воситалар,,52.0,410.0,,,,,,,,,,,,,,0
106,4.1.5.1.5),Ёнилғи ва ЁММ,,52.0,500.0,,,,,,,,,,,,,,0
107,4.1.5.1.6),Кўмир,,52.0,600.0,,,,,,,,,,,,,,0
108,4.1.5.1.7),Моддий воситаларнинг бошқа заҳиралари,,52.0,900.0,,,,,,,,,,,,,,0
109,4.1.6),Товар ва хизматлар сотиб олиш учун бошқа харажатлар,42.0,90.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4.1.6.1),Ўқитиш харажатлари,,91.0,0.0,,,,,,,,,,,,,,0
111,4.1.6.2),"Телефон, телекоммуникация ва ахборот хизматлари",,92.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,4.1.6.2.1),"Телефон, телеграф ва почта хизматлари",,92.0,100.0,,,,,,,,,,,,,,0
113,4.1.6.2.2),Ахборот ва коммуникация хизматлари,,92.0,200.0,,,,,,,,,,,,,,0
114,4.1.6.3),Объектларни қўриқлаш хизматлари ,,93.0,0.0,,,,,,,,,,,,,,0
115,4.1.6.4),Товар ва хизматлар сотиб олиш учун бошқа харажатлар ,,99.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,4.1.6.4.1),Товар ва хизматлар сотиб олиш бўйича бошқа харажатлар,,99.0,990.0,,,,,,,,,,,,,,0
117,4.2),АСОСИЙ ВОСИТАЛАР БЎЙИЧА ХАРАЖАТЛАР,43.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,4.2.1),Асосий воситаларни лойиҳалаштириш,43.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,4.2.1.1),Бино ,,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4.2.1.1.1),Тураржой бинолари,,11.0,100.0,,,,,,,,,,,,,,0
121,4.2.1.1.2),Нотурар жой бинолари,,11.0,200.0,,,,,,,,,,,,,,0
